param_path,value,is_default,n_repeats,trial_id,median.overall.accuracy,stddev.overall.accuracy,median.overall.mean_f1,stddev.overall.mean_f1,median.summary.decay_trivial.mean_f1,stddev.summary.decay_trivial.mean_f1,median.summary.core_persistence.mean_f1,stddev.summary.core_persistence.mean_f1,median.summary.revival.mean_f1,stddev.summary.revival.mean_f1
retrieval_score_exponent,0.1,False,3,lti-0007,0.8571428571428571,0.03636964837266539,0.6646135630924329,0.013722598763385068,0.4591503267973856,0.09297916280841258,0.9270833333333333,0.008419691425682062,0.4288824900589606,0.0
retrieval_score_exponent,0.3,True,3,lti-0008,0.9047619047619048,0.036369648372665375,0.6877428147931132,0.013375058938166682,0.6139122315592904,0.08935182737458497,0.9270833333333333,0.008419691425682062,0.4288824900589606,0.0
retrieval_score_exponent,0.5,False,3,lti-0009,0.8809523809523809,0.01374643498070539,0.6897269417772401,0.00122190533161823,0.6139122315592904,0.0,0.9270833333333333,0.0,0.4288824900589606,0.0
retrieval_score_exponent,0.7,False,3,lti-0010,0.9047619047619048,0.01374643498070539,0.685626412676711,0.012927821928963568,0.6139122315592904,0.09622504486493764,0.9333333333333333,0.009622504486493792,0.4288824900589606,0.0
retrieval_score_exponent,0.9,False,3,lti-0011,0.8809523809523809,0.02749286996141078,0.687358587027933,0.017678374058102957,0.6139122315592904,0.09622504486493764,0.9270833333333333,0.0036084391824352125,0.4288824900589606,0.0
direct_boost,0.05,False,3,lti-0012,0.9047619047619048,0.01374643498070539,0.6856092340881039,0.02212909588960943,0.6139122315592904,0.09008965341381157,0.9270833333333333,0.008419691425682062,0.4288824900589606,0.0
direct_boost,0.1,True,3,lti-0013,0.9047619047619048,0.01374643498070539,0.6973480243983228,0.0030191876691576876,0.6139122315592904,0.006873217490352663,0.9166666666666666,0.00601406530405858,0.4288824900589606,0.0
direct_boost,0.15,False,3,lti-0014,0.8809523809523809,0.023809523809523836,0.6696812467315452,0.013358414797292354,0.4591503267973856,0.0998392509953105,0.9270833333333333,0.0036084391824352125,0.4288824900589606,0.0032991443953692976
direct_boost,0.2,False,3,lti-0015,0.8809523809523809,0.0,0.6876987230823548,0.014430840448046383,0.6258169934640523,0.10309826235529031,0.9270833333333333,0.0,0.4288824900589606,0.0032991443953692976
direct_boost,0.25,False,3,lti-0016,0.8809523809523809,0.01374643498070539,0.665249743490518,0.005615520605678022,0.4591503267973856,0.006873217490352663,0.9270833333333333,0.00601406530405858,0.4288824900589606,0.0
